0.0294073821308	[0.9645555323005548, 0.67561025601281033, 0.45063911606942098, 0.055982705420758561, 0.62708580243615775]	[0.028365053124739616, 0.01986792897005633, 0.013252116689339398, 0.0016463048110242555, 0.018440951821039442]
0.0294073821308	[0.9645555323005548, 0.67561025601281033, 0.45063911606942098, 0.055982705420758561, 0.62708580243615775]	[0.028365053124739616, 0.01986792897005633, 0.013252116689339398, 0.0016463048110242555, 0.018440951821039442]
0.135442727931	[0.018783347769756542, 0.40561363217946078, 0.1286343462607662, 0.92920598368984064, 0.29617368065274463]	[0.0025440678616124911, 0.054937416828387417, 0.017422586763179006, 0.12585419324076033, 0.040114571248972573]
0.135442727931	[0.018783347769756542, 0.40561363217946078, 0.1286343462607662, 0.92920598368984064, 0.29617368065274463]	[0.0025440678616124911, 0.054937416828387417, 0.017422586763179006, 0.12585419324076033, 0.040114571248972573]
0.588696593059	[0.9645555323005548, 0.67561025601281033, 0.45063911606942098, 0.055982705420758561, 0.62708580243615775]	[0.56783055568154683, 0.39772945595046022, 0.26528971232918741, 0.032956827951426175, 0.36916327544983524]
0.588696593059	[0.9645555323005548, 0.67561025601281033, 0.45063911606942098, 0.055982705420758561, 0.62708580243615775]	[0.56783055568154683, 0.39772945595046022, 0.26528971232918741, 0.032956827951426175, 0.36916327544983524]
0.947407350186	[0.018783347769756542, 0.40561363217946078, 0.1286343462607662, 0.92920598368984064, 0.29617368065274463]	[0.017795481738167158, 0.38428133646246176, 0.12186912513382089, 0.88033657878456739, 0.28059712198205133]
0.947407350186	[0.018783347769756542, 0.40561363217946078, 0.1286343462607662, 0.92920598368984064, 0.29617368065274463]	[0.017795481738167158, 0.38428133646246176, 0.12186912513382089, 0.88033657878456739, 0.28059712198205133]
3.0	[5.0, 6.0]	[15.0, 18.0]
3.0	[5.0, 6.0]	[15.0, 18.0]
3.0	[1.0, 2.0]	[3.0, 6.0]
3.0	[4.0, 5.0, 6.0]	[12.0, 15.0, 18.0]
3.0	[1.0, 2.0, 3.0]	[3.0, 6.0, 9.0]
3.0	[1.0, 2.0, 3.0]	[3.0, 6.0, 9.0]
3.0	[1.0, 2.0, 3.0]	[3.0, 6.0, 9.0]
3.0	[1.0, 2.0, 3.0]	[3.0, 6.0, 9.0]
3.0	[1.0, 2.0, 3.0]	[3.0, 6.0, 9.0]
3.0	[1.0, 2.0, 3.0]	[3.0, 6.0, 9.0]
9.0	[1.0, 2.0]	[9.0, 18.0]
9.0	[5.0, 6.0]	[45.0, 54.0]
